title,description,date
"NEW NUMBERS FOR NEWCOMERS, RETURNERS","Devin Brown, Kyion Grayes and Parker Lewis change their numbers as Ohio State's newcomers receive their first numbers as Buckeyes.",2023-03-07
20 NEW PLAYERS ON BUCKEYES’ SPRING ROSTER,"Ohio State’s roster for 2023 spring practices will include 47 letterwinners from last year’s roster, including 13 returning starters, and 20 newcomers.",2023-03-06
OHIO STATE’S FULL NFL COMBINE RESULTS,"Your one-stop shop for measurables, workout results and more updates from all eight of Ohio State’s participants in the 2023 NFL Scouting Combine.",2023-03-06
OHIO STATE’S TOP COMBINE PERFORMERS,"Jaxon Smith-Njigba and Dawand Jones post chart-topping numbers, C.J. Stroud wows with his arm and Paris Johnson Jr. and Luke Wypler have well-rounded combines.",2023-03-06
"STROUD, JSN, WYPLER MAKE ALL-COMBINE TEAM","C.J. Stroud, Jaxon Smith-Njigba and Luke Wypler were named to NFL.com’s All-Combine team for their performances at the 2023 NFL Scouting Combine.",2023-03-06
JOHNSON MAKES HIS CASE FOR OT1,Paris Johnson Jr. showed why he could be the top offensive lineman in the 2023 NFL draft with a strong showing in his workout at the NFL Scouting Combine on Sunday.,2023-03-05
LARGEST PLAYER AT THE COMBINE,Former Ohio State offensive tackle Dawand Jones weighed in with the largest measurables in all five categories among all players at the NFL Scouting Combine.,2023-03-05
NEW NARRATIVE FOR OSU QBS IN THE NFL,"After decades of struggling to develop quarterbacks for success at the NFL level, Ohio State's program might finally turn that corner via Justin Fields and C.J. Stroud.",2023-03-05
"JSN RUNS FASTEST 3-CONE, SHUTTLE",Jaxon Smith-Njigba ran the fastest 20-yard shuttle (3.93 seconds) and 3-cone drill (6.57 seconds) times among all players at the 2023 NFL Scouting Combine.,2023-03-04
"STROUD, SMITH-NJIGBA EXCEL AT NFL COMBINE",C.J. Stroud and Jaxon Smith-Njigba made their case for being the top quarterback and wide receiver in the 2023 draft with standout performances at the NFL Scouting Combine.,2023-03-04
WYPLER FELT IT “MADE SENSE” TO ENTER DRAFT,Luke Wypler felt he “couldn’t have really made a bad decision” between entering the NFL draft or staying at Ohio State another year but felt he was ready to play at the next...,2023-03-04
COMBINE PARTICIPANTS DISCUSS 2023 OSU DBS,"Cam Brown expects big things from Denzel Burke, Ronnie Hickman expects Josh Proctor to bounce back and Ja’Had Carter draws rave reviews from a former Syracuse teammate.",2023-03-04
JSN EXCITED TO GET BACK ON THE FIELD,Jaxon Smith-Njigba still believes he is a top-five player in the 2023 NFL draft despite being injured last season and he's ready to remind people what he can do on the field.,2023-03-03
STROUD REGRETS NOT RUNNING MORE AT OSU,"C.J. Stroud wishes he would have run the football more during his time at Ohio State: ""I feel like I should have, and that's something I regret.""",2023-03-03
STROUD SAYS FIELDS “AIN'T NO DAMN” RB,"At the NFL Scouting Combine, C.J. Stroud and Jaxon Smith-Njigba defended their former teammate Justin Fields, as Stroud said Fields “ain't no damn running back.”",2023-03-03
STROUD CONSIDERED RETURNING TO OHIO STATE,"Despite expectations of being a top-five pick in the NFL draft, C.J. Stroud considered returning for a fourth season at Ohio State: ""It was really hard for me to leave.""",2023-03-03
JSN WON’T RUN 40 AT COMBINE,Jaxon Smith-Njigba will not run the 40-yard dash at the NFL Scouting Combine but will do every other drill at the event.,2023-03-03
HARRISON SIDELINED BY HAMSTRING TWEAK,Former Ohio State defensive end Zach Harrison did not participate in any on-field drills at the NFL Scouting Combine due to a minor hamstring injury.,2023-03-02
CAM BROWN HOPES TO RUN 4.2 40,"Cameron Brown’s confidence was on full display during his interview session at the NFL Scouting Combine, where his goal is to run the 40-yard dash in under 4.3 seconds.",2023-03-02
"“DON’T SLEEP ON KYLE, MAN”","Ronnie Hickman and Cameron Brown expect a ""great competition between two great quarterbacks"" as Kyle McCord and Devin Brown vie to replace C.J. Stroud at Ohio State.",2023-03-02
MARV INKS NIL DEAL WITH MONARC SPORT,"Marvin Harrison Jr. announces NIL partnership with Monarc Sport to sponsor its Seeker JUGS machine, a deal Mark Pantoni calls a ""match made in heaven"" for the Ohio State receiver.",2023-03-02
LONGEST ARMS AT NFL COMBINE SINCE 2020,Zach Harrison’s 36 1/4-inch arm measurement is the longest of any defensive lineman at the NFL Scouting Combine since Tennessee defensive tackle Daniel McCullers in 2014.,2023-03-02
JERMAINE MATHEWS,Jermaine Mathews is the highest-rated in-state cornerback to commit to Ohio State since Ted Ginn Jr. in 2004.,2023-03-02
NFL COMBINE VIEWING GUIDE,"Here’s what you need to know about how to watch C.J. Stroud, Jaxon Smith-Njigba and the rest of Ohio State’s draft prospects work out at the NFL Scouting Combine.",2023-03-02
HARRISON “VERY CONFIDENT” ABOUT NFL FUTURE,Former Ohio State defensive end Zach Harrison says he still has “so much room to improve” and believes his best football is in front of him as he begins his NFL career.,2023-03-01
HARRISON SAYS CURRY COULD BREAK OUT IN '23,"Zach Harrison thinks Caden Curry is primed for a breakout year in 2023: ""He's gonna be a really good player.""",2023-03-01
SPRING BALL AND NFL COMBINE PREVIEW,We preview the biggest storylines entering spring practices and discuss what Ohio State’s draft prospects can accomplish at this week’s NFL Scouting Combine.,2023-03-01
OHIO STATE’S FIRST BLACK FOOTBALL PLAYER,A look back at how Fred Patterson became Ohio State’s first-ever Black football player in 1890.,2023-02-28
WHAT BUCKEYES HAVE TO GAIN AT COMBINE,"We look at what C.J. Stroud, Paris Johnson Jr., Jaxon Smith-Njigba, Dawand Jones, Zach Harrison and the rest of Ohio State’s NFL Combine participants could accomplish this week.",2023-02-28
SECOND-YEAR RECEIVERS STILL DEVELOPING,"Ohio State’s four second-year receivers barely played as freshmen, but their teammates and Brian Hartline saw them build momentum during bowl practices in December.",2023-02-27
VALUE THE BALL,"As Ryan Day determines his starting quarterback for 2023, a key factor will be how well Kyle McCord and Devin Brown show they can avoid turnovers with accuracy and decision-making.",2023-02-26
“HUGE CEILING” FOR SONNY’S FIRST SPRING,Perry Eliano says Sonny Styles hasn't “scratched the surface” of what he can be and thinks the five-star recruit has a “huge ceiling“ for growth in his first spring at OSU.,2023-02-25
SIGHTS AND SOUNDS FROM WINTER WORKOUTS,"Ohio State football's media team has been active as the Buckeyes participate in winter workouts, mat drills and other activities to prepare for spring football and the 2023 season.",2023-02-24
CORNERBACK JOBS OPEN FOR COMPETITION,Tim Walton says there will be an open competition to start at cornerback even though Denzel Burke is a returning starter and Davison Igbinosun started at Ole Miss last year.,2023-02-24
OSU PLANS TO PLAY TO STRENGTHS AT TE,Keenan Bailey says the Buckeyes have options to replace Mitch Rossi at fullback but that Ohio State will cater its tight end usage around the strength of its current players.,2023-02-23
BRANDON INNISS,Brandon Inniss is arguably the most polished and ready-to-play player and the lone five-star in Ohio State's 2023 recruiting class.,2023-02-23
OHIO STATE EARLY UNDERDOGS VS. MICHIGAN,Ohio State is an underdog against Michigan but a touchdown favorite against Notre Dame and Penn State in FanDuel Sportsbook's early odds for the 2023 football season.,2023-02-22
DRAWING UP AN IDEAL OSU SCHEDULE,We map out what our ideal Ohio State football schedules would look like on this week’s episode of Real Pod Wednesdays.,2023-02-22
TRE'S “CONFIDENCE WILL COME BACK” IN 2023,"Tony Alford says TreVeyon Henderson's sophomore season ""bothered him greatly"" and the OSU RB says “a lot of people forgot what a healthy TreVeyon Henderson can do.”",2023-02-22
MCCORD’S MINDSET UNCHANGED ENTERING SPRING,"Kyle McCord says he put his ""head down and got to work” the day he became a Buckeye, and he’s keeping that same approach as he prepares to compete to start at quarterback.",2023-02-21
SECOND-YEAR DL IN LINE FOR EXPANDED ROLES,"Caden Curry, Kenyatta Jackson, Omari Abor and Hero Kanu all have a good chance to earn playing time in Ohio State’s defensive line rotation in their second year as Buckeyes.",2023-02-20
BOLD PREDICTIONS DOWN BAD,Let's come together and make fun of my bold prognostications made ahead of the 2022 Ohio State football season.,2023-02-19
BUCKEYES HOLD SPORTS PERFORMANCE CLINIC,Mickey Marotti and his staff traded wisdom with others in the sports performance industry as Ohio State held its first strength and conditioning clinic since 2019 on Saturday.,2023-02-18
POST-SUPER BOWL MOCK DRAFT ROUNDUP,C.J. Stroud is a unanimous top-10 pick and Paris Johnson Jr. is a consensus top-15 pick while most mock drafts have Jaxon Smith-Njigba going later in the first round.,2023-02-18
GETTING THE BAND BACK TOGETHER,Ohio State football has been remarkably consistent at bringing former players home to coach. What makes them different from other programs who do the same thing?,2023-02-17
JONES’ NFL DRAFT PROCESS OFF TO GOOD START,Dawand Jones felt well-prepared for the NFL draft process from his time at Ohio State and is looking to show scouts in his pre-draft interviews how much he loves football.,2023-02-17
BUCKEYE FAN BUILDS THE HORSESHOE ON RCT,"An Ohio State fan has built a model of Ohio Stadium, the Drake Center, Lincoln Tower, Morrill Tower, Lincoln Tower Park and the RPAC in the ""Roller Coaster Tycoon"" video game.",2023-02-16
WALKER PREPARED FOR DEVELOPMENTAL YEAR ONE,Freshman offensive tackle Miles Walker knows he needs to develop both physically and mentally but believes in Justin Frye and Ohio State’s plan for his long-term development.,2023-02-16
OSU CANCELS HOME-AND-HOME WITH WASHINGTON,"Ohio State will no longer play a home-and-home series with Washington in 2024 and 2025, instead opting to replace that series with a pair of to-be-determined home games.",2023-02-15
OSU EXPECTED TO HIRE MARSHALL GM,"OSU is reportedly expected to hire Marshall general manager Marc Votteler, who has previously worked at Alabama, UCF and Tennessee, as its director of player personnel.",2023-02-15
PREVIEWING 10 SPRING POSITION BATTLES,We handicap the biggest position battles that will take place for Ohio State during spring practices.,2023-02-15
GEBBIA “ALMOST ANOTHER COACH IN THE ROOM”,Tristan Gebbia transferred to Ohio State because he wants to be a coach and Kyle McCord said Gebbia has already become a mentor for the Buckeyes’ other quarterbacks.,2023-02-14
BABB TO WORK FOR ATHLETIC DEPARTMENT,Former Ohio State wide receiver Kamryn Babb is now an Ohio State employee as he has been hired as a program coordinator for OSU’s Eugene D. Smith Leadership Institute.,2023-02-13
KNOWLES WILL BE “MORE DEMANDING” IN YEAR 2,"After establishing a connection with his defensive personnel in 2022, Jim Knowles plans to ""bear down"" on correcting his players' technique in 2023.",2023-02-13
OHIO STATE’S TOP NFL PERFORMERS OF 2022,"With the 2022 NFL season now complete, we take a look at Ohio State’s best players in the league this year, led by Nick Bosa, Cameron Heyward and Terry McLaurin.",2023-02-13
"CARTER CHOSE OSU FOR CULTURE, SCHEME","Ja’Had Carter says he transferred to Ohio State because of its culture, BIA reputation and scheme and believes he can make an immediate impact in Jim Knowles’ defense.",2023-02-12
BUCKEYES VISIT RONALD MCDONALD HOUSE,Kyle McCord and eight of his new Ohio State teammates brought joy to children at the Ronald McDonald House of Columbus during a visit Friday afternoon.,2023-02-10
"MORE TRANSFERS, BUT NEEDS STILL PRIORITY","Ohio State has added more transfers this year than ever before, but Ryan Day says the Buckeyes are still looking to address specific needs with every transfer they bring in.",2023-02-10
WILSON NAMED NFL OFFENSIVE ROOKIE OF YEAR,"Former Ohio State wide receiver Garrett Wilson is the AP NFL Offensive Rookie of the Year after catching 83 passes for 1,103 yards and four touchdowns in his first season.",2023-02-09
BOSA NAMED NFL DEFENSIVE PLAYER OF YEAR,"Nick Bosa is the AP NFL Defensive Player of the Year, becoming the first former Ohio State player to win the award since Randy Gradishar in 1978.",2023-02-09
"RIEP, WINT FOUND NOT GUILTY",Former Ohio State defensive backs Amir Riep and Jahsen Wint were found not guilty of rape and kidnapping charges by a Franklin County jury on Thursday.,2023-02-09
DIMITRIOUS STANLEY DIES AFTER CANCER BOUT,Former Ohio State wide receiver Dimitrious Stanley has died at 48 years old after a four-year battle with prostate cancer.,2023-02-09
CARTER BRINGS VERSATILITY & EXPERIENCE,The fourth-year transfer safety played in a similar system while at Syracuse and should make an immediate impact in the Ohio State secondary.,2023-02-09
MEMORABILIA COMPANY APOLOGIZES FOR MHJ PIC,A Georgia-based memorabilia business apologized after selling a signed photo of Javon Bullard’s hit on Marvin Harrison Jr. in the Peach Bowl with a “Night Night” inscription.,2023-02-08
LEAKER TRAITOR GAMBLER SPY,"C.J. Stroud, Jaxon Smith-Njigba, Paris Johnson Jr., Dawand Jones, Luke Wypler, Zach Harrison, Cam Brown and Ronnie Hickman will represent Ohio State at the NFL Scouting Combine.",2023-02-08
EIGHT BUCKEYES INVITED TO NFL COMBINE,"We share our thoughts on what we heard from talking to Ryan Day, James Laurinaitis, Mark Pantoni and all of Ohio State’s assistant coaches last week.",2023-02-08
EARLY INSIGHT ON THE 2023 BUCKEYES,Former Ohio State offensive lineman Harry Miller will attend Tuesday night’s State of the Union address as a guest of First Lady Jill Biden.,2023-02-07
HARRY MILLER INVITED TO STATE OF THE UNION,"Kamryn Babb says he’ll “cherish and be a Buckeye for life” as he moves on to his next chapter, in which he hopes to continue inspiring others away from the football field.",2023-02-07
BABB “THANKFUL FOR IT ALL”,"Ryan Day and Corey Dennis say Kyle McCord and Devin Brown will have a ""blank slate"" to prove themselves this offseason during an equal-opportunity quarterback competition.",2023-02-07
"LJ WANTS SAWYER, CURRY AT ONE POSITION",Larry Johnson wants Jack Sawyer and Caden Curry to hone their skills at one position instead of splitting time between Jack and traditional defensive end in 2023.,2023-02-06
OHIO STATE ROSTER BY REMAINING ELIGIBILITY,We did the math on how much remaining eligibility each of Ohio State’s 89 scholarship players has entering the 2023 season.,2023-02-06
"RUGGLES THANKS TEAMMATES, COACHES, FANS",Noah Ruggles says “moments of adversity have provided me an opportunity for unimagined growth” in his first social media post since the Peach Bowl.,2023-02-04
WISCONSIN GA TUF BORLAND,Former Ohio State linebacker Tuf Borland has joined Luke Fickell’s staff at Wisconsin as a graduate assistant.,2023-02-03
"STARTING SPOTS AT OT, C UP FOR GRABS","Ohio State plans to keep Donovan Jackson and Matt Jones at guard, leaving openings for new starting offensive linemen at both offensive tackle spots and center.",2023-02-03
LAURINAITIS ASPIRES TO BE TOP LB COACH,James Laurinaitis returns to Ohio State with a goal of becoming “the best linebacker coach in the country” and says he’ll “attack this year with that vision.”,2023-02-02
UPDATES FROM EVERY OHIO STATE COACH,"All 10 of Ohio State’s assistant coaches, James Laurinaitis and Mark Pantoni met with the media Wednesday and we rounded up some of the most notable things they said.",2023-02-01
NEW DL GA HAS WORKED WITH 50+ NFL PLAYERS,"Ohio State hired LaAllan Clark, who has trained more than 50 defenders who played in the NFL last season, as a defensive line graduate assistant.",2023-02-01
PLAY-CALLER DECISION WILL COME POST-SPRING,Ryan Day will delegate offensive play-calling duties to Brian Hartline during spring practices but hasn’t yet decided if Hartline will be the play-caller during the season.,2023-02-01
8 BUCKEYES SIDELINED FOR SPRING PRACTICE,"Emeka Egbuka, Tommy Eichenberg and Julian Fleming are among several Buckeyes set to miss spring practices due to injuries.",2023-02-01
DAY HOPES TO NAME STARTER BY END OF SPRING,Ryan Day hopes Kyle McCord or Devin Brown will emerge as C.J. Stroud's successor under center by the end of Ohio State's spring practice schedule.,2023-02-01
DAY VOICES DISSENT ON NON-TARGETING CALL,Ryan Day spoke with officials following the non-targeting call that knocked Marvin Harrison Jr. out of the Peach Bowl and said “I completely disagree” with their explanations.,2023-02-01
"""THE GEORGIA LOSS IS MOTIVATING""","On a quiet National Signing Day for the Buckeye football program, Ryan Day, Jim Knowles and Brian Hartline took to the airwaves to discuss Ohio State's plans for the offseason.",2023-02-01
BLUE RUIN,"Prior to the Peach Bowl, the Buckeye offense appeared hesitant to be the best version of itself. The key to continuing how it played in Atlanta is letting go of the past.",2023-02-01
"LAURINAITIS RETURNS, BBALL STRUGGLES","We discuss the impact of James Laurinaitis’ return, the state of Ohio State basketball after a 2-7 January and the addition of transfer cornerback Davison Igbinosun.",2023-02-01
"DAY ON PLAY-CALLING DUTIES, QB BATTLE, NIL","Ryan Day will let Brian Hartline call plays on offense during the spring, expects a ""heck of a competition"" at quarterback and is optimistic about the future of NIL at OSU.",2023-02-01
"FRIDAY, GAOTEOTE WON’T RETURN FOR YEAR SIX",Ryan Day confirmed Wednesday that Tyler Friday and Palaie Gaoteote IV will not return to Ohio State for their sixth year of eligibility.,2023-02-01
JONES MAKING BIG IMPRESSION AT SENIOR BOWL,"From his record-setting weigh-in to dominant one-on-one reps on the first day of practice, Dawand Jones is making a big early impression at the Senior Bowl.",2023-01-31
BUCKEYES LAND TRANSFER CB IGBINOSUN,Ohio State lands the top remaining player in the transfer portal as former Ole Miss cornerback Davison Igbinosun announces his commitment to the Buckeyes.,2023-01-31
HEYWARD NAMED TO PRO BOWL GAMES,"Former Buckeye and current Pittsburgh Steelers defensive lineman Cameron Heyward was named to the Pro Bowl Games, replacing Chris Jones of the Kansas City Chiefs.",2023-01-31
OSU’S TOP 10 QBS OF THE 21ST CENTURY,"How does C.J. Stroud compare to Justin Fields, Troy Smith and Ohio State’s other quarterback greats of the 21st century? We rank the 10 best.",2023-01-31
"TYLEIK LOOKS TO GET FASTER, MORE PHYSICAL","After playing a full season “in college shape” for the first time in 2022, Tyleik Williams still wants to get “faster and more physical” to make a bigger impact in 2023.",2023-01-30
SERMON IS LAST BUCKEYE STANDING,Trey Sermon is the only former Ohio State player advancing to the Super Bowl after the Cincinnati Bengals and San Francisco 49ers fell in their conference championship games.,2023-01-30
JONES BREAKS SENIOR BOWL WINGSPAN RECORD,"Former Ohio State offensive tackle Dawand Jones measured in at the Senior Bowl with a wingspan of 89 1/2 inches, the longest ever for a Senior Bowl participant.",2023-01-29
STOKES “LIGHT YEARS BETTER” AFTER YEAR ONE,Kye Stokes learned the importance of the mental side of the game during his freshman season and says he's “taken great leaps and bounds” since he arrived at OSU a year ago.,2023-01-28
LAURINAITIS RETURNING TO OHIO STATE AS GA,Former Ohio State linebacker James Laurinaitis is rejoining the Buckeyes as a defensive graduate assistant after one year in the same role at Notre Dame.,2023-01-27
7 BUCKEYES NAMED IN PFF'S TOP 101 FOR 2022,Marvin Harrison Jr. and C.J. Stroud headlined a list of seven Buckeyes named Pro Football Focus' Top 101 players from the 2022 college football season.,2023-01-27
DISPATCHES FROM THE FUTURE,"Approximately 18 years ago, I got very angry about the prospect of a college football player getting 500 bucks from a booster. Let's see if we can shift my perspective.",2023-01-27
SCOTT TRUSTS HE’S ON RIGHT PATH AT OSU,"Gee Scott Jr. played 85 more snaps in 2022 than he did in 2021, and although he didn't have a major role in the OSU offense, he says there's ""nowhere else"" he'd rather be.",2023-01-27
TRUTH VS. FICTION FROM KNOWLES' FIRST YEAR,"The Buckeye defense faltered at the worst possible time in 2022, leading some to question whether the veteran coordinator is up to the task. Film Study tries to shed some light on...",2023-01-26
ROYER SEEKS BIGGER ROLE AFTER TOUGH 2022,"Joe Royer had a tough year both on and off the field in 2022, but increased playing time in the College Football Playoff could serve as a springboard to a bigger role in 2023.",2023-01-26
THE GLASS CASTLE,It is possible to win the College Football Playoff starting a 3rd string QB and a converted 5th year senior defensive end at RT. Ohio State already proved it.,2023-01-25
“I'M A RYAN DAY FAN”,Jim Tressel believes the future of Ohio State football is in good hands with Ryan Day as its head coach.,2023-01-25
"BOSA, WILSON FINALISTS FOR AP NFL AWARDS",Nick Bosa is named a finalist for the AP's NFL Defensive Player of the Year award and Garrett Wilson is a finalist for Offensive Rookie of the Year.,2023-01-25
2ND-YEAR BUCKEYES WHO COULD BREAK OUT,"We look at year one for Ohio State’s 2022 class and which members of that class could break out in 2023, plus discuss the addition of Victor Cutler and return of Josh Proctor.",2023-01-25
SPRING PRACTICE STARTING MARCH 7,Ohio State will begin spring practice on March 7 and culminate its spring football season with the April 15 spring game.,2023-01-24
"WILSON, OLAVE NAMED PFWA ALL-ROOKIES","The Pro Football Writers of America named Garrett Wilson its 2022 Offensive Rookie of the Year, as both Wilson and Chris Olave earned All-Rookie recognition.",2023-01-24
STYLES GLAD HE RECLASSIFIED,Sonny Styles thinks the experience he gained in 2022 is “really gonna help” him as he competes for a starting job in 2023.,2023-01-24
APPLE HELPS SECURE BIG WIN FOR BENGALS,Eli Apple’s fourth-down pass breakup helped the Cincinnati Bengals seal a win over the Buffalo Bills as seven total Buckeyes were winners in the divisional round of the playoffs.,2023-01-23
JOB ONE: STAY HEALTHY,TreVeyon Henderson and Miyan Williams racked up a combined seven DNPs and played hurt in a combined six other contests last season. That's not a winning formula for 2023.,2023-01-22
POTENTIAL DESTINATIONS FOR STROUD,"We take a look at the most likely landing spots for C.J. Stroud in the 2023 NFL draft, including the Texans, Colts, Raiders, Falcons, Panthers and Titans.",2023-01-21
PROCTOR RETURNING FOR SIXTH YEAR,"Ohio State safety Josh Proctor is returning to the Buckeyes for his sixth year of eligibility, safeties coach Perry Eliano told the Columbus Dispatch on Friday.",2023-01-20
FRYAR PRIMED TO STEP INTO STARTING ROLE,Josh Fryar is “most comfortable” at tackle but played most of the first-team snaps at right guard against Michigan and says he can even play center if needed.,2023-01-20
OSU’S 2023 NFL DRAFT PROSPECT BREAKDOWN,"C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba are projected first-round picks while at least 11 other Buckeyes will also be going through the NFL draft process.",2023-01-20
SPRING GAME SET FOR APRIL 15,Ohio State’s 2023 spring game at Ohio Stadium is scheduled for April 15. Tickets will go on sale Feb. 10.,2023-01-19
3 BUCKEYES IN TOP-20 ODDS FOR 2023 HEISMAN,"Ohio State’s Kyle McCord, TreVeyon Henderson and Marvin Harrison Jr. are among the top 20 way-too-early odds to win the 2023 Heisman Trophy.",2023-01-19
CUTLER EXCITED TO BE DEVELOPED BY FRYE,Victor Cutler will compete for Ohio State’s starting center job and says he chose Ohio State because he believes Justin Frye will “coach me to be the best version of me.”,2023-01-19
BUCKEYES ADD TRANSFER OFFENSIVE LINEMAN,"Former Louisiana-Monroe offensive lineman Victor Cutler, who started at left tackle for the Warhawks in 2022, is transferring to Ohio State.",2023-01-18
LOST CIVILIZATION,"Ohio State's offense is barely recognizable from how it used to look way back in oh, you know, 2016.",2023-01-18
"2023 DRAFT CLASS, DECISION IMPACTS","We take a look at Ohio State’s 2023 NFL draft class and the impact of several players’ draft decisions, starting with C.J. Stroud’s departure and the upcoming battle to...",2023-01-18
MCCALISTER HAPPY HE SPENT YEAR AS BUCKEYE,Tanner McCalister believes playing for Ohio State bolstered his chances of being drafted and says fans should be “real confident” about the future of Jim Knowles’ defense.,2023-01-18
"OLAVE, WILSON FINALISTS FOR NFL ROY",Former Ohio State wide receivers Chris Olave and Garrett Wilson are two of the six finalists for the NFL Rookie of the Year award.,2023-01-17
BUCKEYES ADD TRANSFER QUARTERBACK,Ohio State adds depth at quarterback as former Oregon State signal-caller Tristan Gebbia is transferring to the Buckeyes.,2023-01-17
BABB WON’T RETURN FOR FINAL YEAR,Kamryn Babb announces he's starting “the next chapter” and won't return to Ohio State for his final year of college eligibility in 2023.,2023-01-17
"HUBBARD, BOSA MAKE KEY PLAYS IN WILD CARD","Sam Hubbard made the play of wild card weekend, Nick Bosa also made a key fumble recovery and Joey Bosa and J.K. Dobbins expressed frustration after playoff losses.",2023-01-17
LET THE BATTLE BEGIN,C.J. Stroud’s NFL draft declaration clears the way for Kyle McCord and Devin Brown to battle to be Ohio State’s next starting quarterback.,2023-01-16
“BE GREAT 7”,Current and former Buckeyes congratulated C.J. Stroud on Twitter after the star quarterback declared for the NFL draft on Monday.,2023-01-16
RANSOM STAYING FOR SENIOR SEASON,Lathan Ransom is returning to Ohio State for his senior season to lead the Buckeyes’ safeties in 2023.,2023-01-16
STROUD DECLARES FOR NFL DRAFT,"C.J. Stroud’s Ohio State career is officially over as he declares for the 2023 NFL draft, in which he’s projected to be a top-10 pick.",2023-01-16
HICKS TOOK TEAM-FIRST APPROACH AS FRESHMAN,C.J. Hicks didn’t play at all on defense as a true freshman but embraced the opportunity to play on special teams and help Ohio State any way he could.,2023-01-16
HOW LAST YEAR’S EARLY ENROLLEES FARED,"With 11 new early enrollees now on campus at Ohio State, we look back at how last year's group fared as true freshmen in 2022.",2023-01-16
HUBBARD BREAKS NFL RECORD WITH 98-YARD TD,Sam Hubbard sets an NFL playoff record with a 98-yard fumble return touchdown that led the Cincinnati Bengals to a 24-17 win over the Baltimore Ravens.,2023-01-15
HICKMAN TO PLAY IN SENIOR BOWL,"Ronnie Hickman becomes the third Ohio State player to accept an invitation to the 2023 Senior Bowl, joining Zach Harrison and Dawand Jones.",2023-01-15
CAGE EARNS SHRINE BOWL INVITATION,Former Ohio State defensive tackle Jerron Cage received an invitation to the East-West Shrine Bowl after practicing in front of NFL scouts this week at the Hula Bowl.,2023-01-14
MASON ARNOLD TRANSFERS TO MICHIGAN STATE,"Mason Arnold, who started Ohio State’s final six games of the 2022 season at long snapper, is transferring to Michigan State.",2023-01-14
MICHALSKI READY TO COMPETE,Zen Michalski says he’s “going to do my absolute best to put in all the work I can put in and wait for the results” as he competes for a starting offensive tackle job this...,2023-01-14
BRIAN HARTLINE PROMOTED TO OC,"Brian Hartline continues his rise up the coaching ladder at Ohio State as he is promoted to offensive coordinator, a role in which he’ll replace Kevin Wilson.",2023-01-13
BOSA NAMED AP FIRST-TEAM ALL-PRO,Nick Bosa earns first-team All-Pro honors from the Associated Press amid a season in which he is a favorite to win the NFL's Defensive Player of the Year award.,2023-01-13
JEAN-BAPTISTE TO NOTRE DAME,"Former Ohio State defensive end Javontae Jean-Baptiste is transferring to Notre Dame, which means he’ll play against the Buckeyes in September.",2023-01-13
WAIT WELL WORTH IT FOR KEENAN BAILEY,"Keenan Bailey turned down opportunities to become a full-time coach sooner to stay at Ohio State, and he’s glad he did now that he’s the Buckeyes’ new tight ends coach.",2023-01-13
EICHENBERG RETURNING TO OHIO STATE IN 2023,"After an All-American season in 2022, Tommy Eichenberg announces he will return to Ohio State next year.",2023-01-12
HOW COACHES RANKED OHIO STATE IN LAST POLL,"We rounded up where all 63 Coaches Poll voters ranked Ohio State in the final poll of 2022, ranging from nine second-place votes to Dino Babers putting the Buckeyes seventh.",2023-01-11
BIG QUESTIONS ON OFFENSIVE LINE,"The exodus of Paris Johnson Jr., Luke Wypler and Dawand Jones makes Ohio State’s offensive line its biggest question mark of any position group as the 2023 offseason begins.",2023-01-11
IN HIS SHOES,"The Buckeyes will have to replace a quarterback who averaged 325 passing yards per start, yet still left many fans wanting more.",2023-01-11
2023 ROSTER OUTLOOK,"We dive into how Ohio State’s 2023 roster is stacking up at every position amid NFL draft decisions, transfer portal movement and the arrival of a new freshman class.",2023-01-11
BOSA NAMED TO PLAYERS' ALL-PRO TEAM,Former Ohio State defensive end Nick Bosa was named to the first-ever NFL Players' All-Pro Team amid a dominant season with the San Francisco 49ers.,2023-01-11
MATT JONES RETURNING TO OHIO STATE,Matt Jones has elected to use his final year of eligibility and will return to Ohio State for the 2023 season.,2023-01-11
WYPLER DECLARES FOR NFL DRAFT,"After two years as Ohio State's starting center, Luke Wypler will turn pro as he announces his intentions to declare for the 2023 NFL draft.",2023-01-10
HENRY BEGINS CHEMOTHERAPY TREATMENT,Ohio State offensive lineman Avery Henry started chemotherapy for osteosarcoma on Tuesday and says he feels “great and ready.”,2023-01-10
OHIO STATE'S WAY-TOO-EARLY TOP 25 RANKINGS,"With questions surrounding Ohio State heading into 2023, the Buckeyes received mixed reviews in way-too-early top 25 polls.",2023-01-10
PARIS TURNING PRO,Paris Johnson Jr. announces his intentions to declare for the 2023 NFL draft following three seasons at Ohio State.,2023-01-10
BUCKEYES 4TH IN FINAL AP POLL,"Ohio State finishes fourth in the final AP Top 25 of the 2022 season, marking the ninth straight year the Buckeyes have made the top six of the final rankings.",2023-01-10
WHAT COULD HAVE BEEN,Ohio State’s one-point loss to Georgia in the Peach Bowl became even more painful Monday night as the Buckeyes watched the Bulldogs win the national title game easily.,2023-01-09
XAVIER JOHNSON RETURNING FOR SIXTH YEAR,Ohio State wide receiver/running back Xavier Johnson indicated he is returning for a sixth year at Ohio State in an Instagram post Monday.,2023-01-09
